date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2018-01-01,Z300GZ1B,ST4000DM000,4000787030016,1,108,17846936,,,92,0,100,27,100,0,83,211712819,,,56,39123,100,0,,,100,27,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,78,22,100,0,100,4,1,198197,22,22,,,,,100,40,100,40,200,0,,,,,,,,,,,,,,,,,,,100,38355,100,34190420124,100,371977565511,,,,,,,,,,
2018-01-01,Z300GZCV,ST4000DM000,4000787030016,1,110,25274512,,,91,0,100,18,100,160,84,282415587,,,56,39132,100,0,,,100,18,,,,,,,,,,,,,,,100,0,100,0,88,12,100,0,100,0,76,24,100,0,100,2,53,94143,24,24,,,,,100,128,100,128,200,0,,,,,,,,,,,,,,,,,,,100,38781,100,33104655882,100,194543922331,,,,,,,,,,
2018-01-02,S300V3AD,ST4000DM000,4000787030016,1,111,76075666,,,97,0,100,3,100,16,72,17337806,,,100,755,100,0,,,100,3,,,,,,,,,,,,,,,100,0,100,0,96,4,100,0,100,0,76,24,100,0,100,0,100,1374,24,24,,,,,100,16,100,16,200,0,,,,,,,,,,,,,,,,,,,100,745,100,7856394003,100,956313611,,,,,,,,,,
2018-01-02,Z304JPGD,ST4000DM000,4000787030016,1,109,24170088,,,97,0,100,3,100,32,89,849349631,,,79,18589,100,0,,,100,3,,,,,,,,,,,,,,,99,1,100,0,87,13,100,0,100,0,76,24,100,0,100,0,95,11710,24,24,,,,,100,32,100,32,200,0,,,,,,,,,,,,,,,,,,,100,18427,100,41026950032,100,56089901230,,,,,,,,,,
2018-01-02,Z3029GJ1,ST4000DM000,4000787030016,1,117,167753424,,,92,0,100,19,99,648,80,109356363,,,71,26027,100,0,,,100,19,,,,,,,,,,,,,,,52,48,100,0,40,60,100,1,100,0,68,32,100,0,100,0,82,36147,32,32,,,,,100,40,100,40,200,0,,,,,,,,,,,,,,,,,,,100,25858,100,28877057661,100,289401980295,,,,,,,,,,
2018-01-02,Z305D59A,ST4000DM000,4000787030016,1,116,109425528,,,92,0,100,11,100,0,89,835054137,,,81,16921,100,0,,,100,10,,,,,,,,,,,,,,,97,3,100,0,96,4,100,0,100,0,65,35,100,0,100,0,99,2487,35,35,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,16830,100,38888144496,100,70812303871,,,,,,,,,,
2018-01-03,Z3025LH2,ST4000DM000,4000787030016,1,117,119634464,,,92,0,100,11,99,568,79,91382508,,,68,28226,100,0,,,100,11,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,82,18,100,0,100,0,88,25558,18,18,,,,,99,256,99,256,200,0,,,,,,,,,,,,,,,,,,,100,28064,100,23483333380,100,192676826747,,,,,,,,,,
2018-01-03,W300SSGD,ST4000DM000,4000787030016,1,115,96990848,,,96,0,100,14,100,0,77,57874116,,,74,23168,100,0,,,100,4,,,,,,,,,,,,,,,100,0,100,0,98,2,100,0,100,0,80,20,100,0,100,0,100,477,20,20,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,23166,100,36681156376,100,65346361623,,,,,,,,,,
2018-01-03,Z305AGS0,ST4000DM000,4000787030016,1,116,111524312,,,96,0,100,4,100,0,74,26490636,,,99,994,100,0,,,100,4,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,75,25,100,0,100,0,97,7937,25,25,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,964,100,7886949843,100,1281623208,,,,,,,,,,
2018-01-03,Z3015C6Y,ST4000DM000,4000787030016,1,111,40135592,,,91,0,100,15,100,2,76,44957363,,,62,33981,100,0,,,100,14,,,,,,,,,,,,,,,99,1,100,0,1,2526,100,0,91,9,82,18,100,0,100,4,97,7274,18,18,,,,,100,6,100,6,200,0,,,,,,,,,,,,,,,,,,,100,33941,100,29024453328,100,221777944391,,,,,,,,,,
2018-01-03,S301PVB9,ST4000DM000,4000787030016,1,110,27361280,,,96,0,100,4,100,0,89,839025849,,,79,19117,100,0,,,100,4,,,,,,,,,,,,,,,100,0,100,0,93,7,100,0,100,0,76,24,100,0,100,0,94,13830,24,24,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,,,100,19022,100,40987991832,100,55740257273,,,,,,,,,,
2018-01-04,S300Z0LB,ST4000DM000,4000787030016,1,112,49529400,,,97,0,100,3,100,0,81,150187958,,,75,21983,100,0,,,100,3,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,69,31,100,0,100,0,88,24839,31,31,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,21737,100,50100774224,100,113557041521,,,,,,,,,,
2018-01-04,Z304LADJ,ST4000DM000,4000787030016,1,102,4872208,,,98,0,100,2,100,8,89,853766657,,,79,18655,100,0,,,100,2,,,,,,,,,,,,,,,98,2,100,0,96,4,100,0,100,0,74,26,100,0,100,0,94,12044,26,26,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,18479,100,40916748696,100,66781997929,,,,,,,,,,
2018-01-04,Z305D586,ST4000DM000,4000787030016,1,120,239936984,,,95,0,100,5,100,0,89,832976619,,,81,16940,100,0,,,100,5,,,,,,,,,,,,,,,100,0,100,0,98,2,100,0,100,0,62,38,100,0,100,0,99,2706,38,38,,,,,100,16,100,16,200,0,,,,,,,,,,,,,,,,,,,100,16874,100,38394896968,100,67658970329,,,,,,,,,,
2018-01-04,Z300ZK0F,ST4000DM000,4000787030016,1,119,233687656,,,91,0,100,14,100,0,75,37513248,,,61,34297,100,0,,,100,14,,,,,,,,,,,,,,,99,1,100,0,100,0,100,1,82,18,80,20,100,0,100,2,76,48955,20,20,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,34039,100,28428919584,100,294308168966,,,,,,,,,,
2018-01-05,Z305D26B,ST4000DM000,4000787030016,1,115,88721656,,,94,0,100,6,100,0,86,468618378,,,84,14286,100,0,,,100,6,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,80,20,100,0,100,0,86,29107,20,20,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,14170,100,10565382655,100,49621470990,,,,,,,,,,
2018-01-05,Z302A0WD,ST4000DM000,4000787030016,1,108,17787296,,,96,0,100,4,100,0,73,21032450,,,74,23133,100,0,,,100,4,,,,,,,,,,,,,,,100,0,100,0,96,4,100,0,100,0,76,24,100,0,100,0,81,38371,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,22981,100,48030160544,100,55560518235,,,,,,,,,,
2018-01-05,Z304KABC,ST4000DM000,4000787030016,1,105,7644048,,,92,0,100,11,100,0,90,951348392,,,78,19724,100,0,,,100,10,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,65,35,100,0,100,0,97,6853,35,35,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,19638,100,46839688448,100,80756141417,,,,,,,,,,
2018-01-06,W3004X68,ST4000DM000,4000787030016,1,109,23657640,,,91,0,100,15,100,8,84,308189233,,,68,28664,100,0,,,100,15,,,,,,,,,,,,,,,100,0,100,0,98,2,100,0,100,0,82,18,100,0,100,0,49,103204,18,18,,,,,99,168,99,168,200,0,,,,,,,,,,,,,,,,,,,100,28283,100,18992056168,100,129491658345,,,,,,,,,,
2018-01-06,Z300ZV9B,ST4000DM000,4000787030016,1,118,201270208,,,91,0,100,15,100,0,78,76890004,,,61,34342,100,0,,,100,15,,,,,,,,,,,,,,,99,1,100,0,100,0,100,0,89,11,79,21,100,0,100,2,75,50304,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,34159,100,28728246442,100,278449014094,,,,,,,,,,
2018-01-06,Z3025WBW,ST4000DM000,4000787030016,1,108,165729075,,,92,0,100,13,100,0,82,184258393,,,68,28322,100,0,,,100,13,,,,,,,,,,,,,,,100,0,100,0,95,5,100,0,100,0,79,21,100,0,100,7,71,59312,21,21,,,,,57,7168,57,7168,200,0,,,,,,,,,,,,,,,,,,,100,27883,100,23857268815,100,183271969185,,,,,,,,,,
2018-01-07,Z300GZDT,ST4000DM000,4000787030016,1,118,192703744,,,91,0,100,63,100,0,78,72162384,,,60,35722,100,0,,,100,62,,,,,,,,,,,,,,,99,1,100,0,100,0,100,0,99,1,78,22,100,0,100,25,46,108762,22,22,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,35147,100,29188116034,100,297021097986,,,,,,,,,,
2018-01-07,S300YQ4F,ST4000DM000,4000787030016,1,112,46899064,,,97,0,100,3,100,32,88,787637068,,,75,22728,100,0,,,100,3,,,,,,,,,,,,,,,66,34,100,0,59,41,100,0,100,0,79,21,100,0,100,0,17,166604,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,21948,100,35308415024,100,64441676018,,,,,,,,,,
2018-01-08,Z3029ATJ,ST4000DM000,4000787030016,1,111,35809064,,,94,0,100,6,100,0,85,13882883501,,,70,27050,100,0,,,100,6,,,,,,,,,,,,,,,100,0,100,0,93,7,100,0,100,0,73,27,100,0,100,0,96,8394,27,27,,,,,100,112,100,112,200,0,,,,,,,,,,,,,,,,,,,100,27006,100,23306293042,100,167510396644,,,,,,,,,,
2018-01-08,Z305BAT9,ST4000DM000,4000787030016,1,112,44550520,,,95,0,100,5,100,0,88,787878293,,,81,17022,100,0,,,100,5,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,0,99,3807,22,22,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,16949,100,38414686728,100,58775214818,,,,,,,,,,
2018-01-08,W300AS94,ST4000DM000,4000787030016,1,117,159595368,,,91,0,100,14,100,0,69,60284318798,,,55,39896,100,0,,,100,14,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,71,29,100,0,100,3,31,138681,29,29,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,39343,100,29854884570,100,180728618969,,,,,,,,,,
2018-01-10,Z300X7C3,ST4000DM000,4000787030016,1,119,210421064,,,92,0,100,40,100,0,89,823573261,,,63,32893,100,0,,,100,40,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,98,2,75,25,100,0,100,31,92,17579,25,25,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,32739,100,26709740040,100,129500812474,,,,,,,,,,
2018-01-10,Z304JXAS,ST4000DM000,4000787030016,1,111,29439608,,,93,0,100,7,100,0,89,896595271,,,78,19805,100,0,,,100,7,,,,,,,,,,,,,,,98,2,100,0,74,26,100,0,100,0,76,24,100,0,100,0,97,7535,24,24,,,,,100,112,100,112,200,0,,,,,,,,,,,,,,,,,,,100,19710,100,43956051568,100,57651635509,,,,,,,,,,
2018-01-10,Z305NJMN,ST4000DM000,4000787030016,1,110,26805080,,,96,0,100,4,100,0,88,770216982,,,82,15983,100,0,,,100,4,,,,,,,,,,,,,,,98,2,100,0,82,18,100,0,100,0,74,26,100,0,100,0,98,4109,26,26,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,,,100,15935,100,35821567408,100,71362569445,,,,,,,,,,
2018-01-10,Z304KR0B,ST4000DM000,4000787030016,1,108,14762144,,,93,0,100,7,100,0,90,957005660,,,78,19801,100,0,,,100,7,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,0,97,7689,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,19704,100,42405452280,100,66007567054,,,,,,,,,,
2018-01-11,Z304J92R,ST4000DM000,4000787030016,1,117,153210936,,,97,0,100,3,100,0,79,88885971,,,96,3603,100,0,,,100,3,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,79,21,100,0,100,0,81,39704,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,3309,100,8498681555,100,8928452465,,,,,,,,,,
2018-01-11,Z3029AL0,ST4000DM000,4000787030016,1,120,236285200,,,92,0,100,9,100,0,76,44002598,,,71,25991,100,0,,,100,9,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,0,97,7505,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,25964,100,23900026613,100,183972998296,,,,,,,,,,
2018-01-11,Z300GQB1,ST4000DM000,4000787030016,1,117,123730744,,,91,0,100,20,100,0,84,283384251,,,56,39384,100,0,,,100,20,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,78,22,100,0,100,2,50,100928,22,22,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,39017,100,33133144042,100,210350202770,,,,,,,,,,
2018-01-11,W3009HD0,ST4000DM000,4000787030016,1,114,60272064,,,91,0,100,15,100,0,81,153519690,,,55,39964,100,0,,,100,15,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,75,25,100,0,100,3,27,146252,25,25,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,39376,100,29910055082,100,171576175390,,,,,,,,,,
2018-01-12,Z300GYMT,ST4000DM000,4000787030016,1,111,40576288,,,91,0,100,19,100,0,84,259214436,,,56,39408,100,0,,,100,19,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,95,5,75,25,100,0,100,3,70,60653,25,25,,,,,100,144,100,144,200,0,,,,,,,,,,,,,,,,,,,100,39184,100,34654618100,100,363719052884,,,,,,,,,,
2018-01-12,Z3016RFZ,ST4000DM000,4000787030016,1,118,189722896,,,96,0,100,4,96,5336,89,929736195,,,62,33766,100,0,,,100,4,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,99,1,70,30,100,0,100,1,98,5853,30,30,,,,,96,808,96,808,200,0,,,,,,,,,,,,,,,,,,,100,33741,100,27048745646,100,138177587757,,,,,,,,,,
